date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-03-31 14:15:00,-9000,인하프(inhalf)성신여대점,,일시불,신한,0,14,afternoon,2025-W13,2025-03-31/2025-04-06
2025-03-30 16:24:00,1000,온에어코인노래연습장,,일시불,신한,6,16,afternoon,2025-W13,2025-03-24/2025-03-30
2025-03-30 16:24:00,1000,온에어코인노래연습장,,일시불,신한,6,16,afternoon,2025-W13,2025-03-24/2025-03-30
2025-03-29 23:16:00,4900,세븐일레븐 성신여대중앙점,,일시불,신한,5,23,evening,2025-W12,2025-03-24/2025-03-30
2025-03-29 22:13:00,40900,주식회사 이끎,,일시불,신한,5,22,evening,2025-W12,2025-03-24/2025-03-30
2025-03-29 19:21:00,73000,참나무본가공덕점,,일시불,신한,5,19,evening,2025-W12,2025-03-24/2025-03-30
2025-03-29 13:05:00,8200,메가커피공덕SK리더스뷰,,일시불,신한,5,13,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-28 15:03:00,4500,김.Coffee,,일시불,신한,4,15,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-27 23:52:00,16500,우아한형제들㈜,,일시불,신한,3,23,evening,2025-W12,2025-03-24/2025-03-30
2025-03-27 16:32:00,13900,(주)카카오,,일시불,신한,3,16,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-26 23:37:00,4000,주식회사 서북,,일시불,신한,2,23,evening,2025-W12,2025-03-24/2025-03-30
2025-03-26 16:03:00,23900,우아한형제들㈜,,일시불,신한,2,16,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-25 17:57:00,50,출력119,,일시불,신한,1,17,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-25 17:55:00,100,출력119,,일시불,신한,1,17,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-25 16:07:00,3900,(주)카카오,,일시불,신한,1,16,afternoon,2025-W12,2025-03-24/2025-03-30
2025-03-25 01:36:00,30200,주식회사 마플코퍼레이션,,일시불,신한,1,1,night,2025-W12,2025-03-24/2025-03-30
2025-03-23 23:58:00,17200,우아한형제들㈜,,일시불,신한,6,23,evening,2025-W12,2025-03-17/2025-03-23
2025-03-23 23:15:00,5000,성신정문점 런드리익스프레스샵,,일시불,신한,6,23,evening,2025-W12,2025-03-17/2025-03-23
2025-03-23 22:47:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,6,22,evening,2025-W12,2025-03-17/2025-03-23
2025-03-23 22:46:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,6,22,evening,2025-W12,2025-03-17/2025-03-23
2025-03-23 19:41:00,11200,(주)카카오,,일시불,신한,6,19,evening,2025-W12,2025-03-17/2025-03-23
2025-03-23 17:20:00,3900,코레일유통주식회사(용산역),,일시불,신한,6,17,afternoon,2025-W12,2025-03-17/2025-03-23
2025-03-21 23:54:00,-23700,한국철도공사,,일시불,신한,4,23,evening,2025-W11,2025-03-17/2025-03-23
2025-03-21 15:11:00,7400,버터로그,,일시불,신한,4,15,afternoon,2025-W11,2025-03-17/2025-03-23
2025-03-21 00:05:00,13680,우아한형제들㈜,,일시불,신한,4,0,night,2025-W11,2025-03-17/2025-03-23
2025-03-20 16:00:00,4200,더비즈랩 성신여대 수하루점,,일시불,신한,3,16,afternoon,2025-W11,2025-03-17/2025-03-23
2025-03-19 16:52:00,8700,오와케이크 성산여대점,,일시불,신한,2,16,afternoon,2025-W11,2025-03-17/2025-03-23
2025-03-18 20:57:00,2200,씨유 성북명랑점,,일시불,신한,1,20,evening,2025-W11,2025-03-17/2025-03-23
2025-03-16 21:55:00,5000,성신정문점 런드리익스프레스샵,,일시불,신한,6,21,evening,2025-W11,2025-03-10/2025-03-16
